parName,parVal,unit,FormKey,ReactionID,Observation
Glucose concentration in media,40,mM,M_glc__D_e,Explicit,
Arg concentration,0.1,mM,M_arg__L_e,Explicit,
Asp concentration,0.1,mM,M_asp__L_e,Explicit,
Gly concentration,0.1,mM,M_gly_e,Explicit,
Ile concentration,0.1,mM,M_ile__L_e,Explicit,
Ala concentration,0.1,mM,M_ala__L_e,Explicit,
Asn concentration,0.1,mM,M_asn__L_e,Explicit,
Leu concentration,0.1,mM,M_leu__L_e,Explicit,
His concentration,0.1,mM,M_his__L_e,Explicit,
Lys concentration,0.1,mM,M_lys__L_e,Explicit,
Pro concentration,0.1,mM,M_pro__L_e,Explicit,
Phe concentration,0.1,mM,M_phe__L_e,Explicit,
Thr concentration,0.1,mM,M_thr__L_e,Explicit,
Trp concentration,0.1,mM,M_trp__L_e,Explicit,
Tyr concentration,0.1,mM,M_tyr__L_e,Explicit,
Val concentration,0.1,mM,M_val__L_e,Explicit,
Ser concentration,0.1,mM,M_ser__L_e,Explicit,
Met concentration,0.1,mM,M_met__L_e,Explicit,
Cys concentration,0.1,mM,M_cys__L_e,Explicit,
Glu concentration,0.1,mM,M_glu__L_e,Explicit,
Nicotinate concentration in media,0.1,mM,M_nac_e,Explicit,
Proton Concentration,0.1,mM,M_h_e,Explicit,
Cholesterol concentration in media,0.1,mM,M_chsterol_e,Explicit,
Fatty Acid concentration in media,1.4,mM,M_fa_e,Explicit,
Glycerol concentration in media,0.1,mM,M_glyc_e,Explicit,
Cell radius,2.5E-07,m,r_cell,Explicit,
Membrane Volume,3.68E-28,L,MembVolume,Explicit,
FA Transporter ptn in cell,3.55,mM,M_FAtrans,Explicit,Zhale’s estimate
GLTP Transporter ptn in cell,1.72E-05,mM,M_gltp,Explicit,Zhale’s estimate
AA Transporter ptn in cell,1.72E-05,mM,M_AAtrans,Explicit,Zhale’s estimate
ABC transporter 1,0.00617,mM,M_trans_cyt,Explicit,Zhale’s estimate
ABC transporter 2,0.00617,mM,M_trans_uri,Explicit,Zhale’s estimate
ABC transporter 3,0.00617,mM,M_trans_ade,Explicit,Zhale’s estimate
Kcat for AA transport 1,3,1/s,Kcat_R_ARGt2r,Explicit,Zhale’s estimate
Km for AA transport 1,0.0004,mM,Km_R_ARGt2r,Explicit,Zhale’s estimate
Kcat for AA transport 2,79.7,1/s,Kcat_R_ASPt2r,Explicit,Zhale’s estimate
Km for AA transport 2,0.009,mM,Km_R_ASPt2r,Explicit,Zhale’s estimate
Kcat ABC transport 1,1.94,1/s,Kcat_R_CYTDabc,Explicit,Zhale’s estimate
Km ABC transport 1,0.0011,mM,Km_R_CYTDabc,Explicit,Zhale’s estimate
Kcat ABC transport 2,1.57,1/s,Kcat_R_URIabc,Explicit,Zhale’s estimate
Km ABC transport 2,0.0017,mM,Km_R_URIabc,Explicit,Zhale’s estimate
Kcat ABC transport 3,1.66,1/s,Kcat_R_ADNabc,Explicit,Zhale’s estimate
Km ABC transport 3,0.0019,mM,Km_R_ADNabc,Explicit,Zhale’s estimate
K+ transporter,0.00774,mM,M_ktrans,Explicit,Zhale’s estimate
Mg2+ transporter,0.00203,mM,M_mgtrans,Explicit,Zhale’s estimate
Ca2+ transporter,0.00774,mM,M_catrans,Explicit,Zhale’s estimate
Spermine transporter,0.00528,mM,M_spetrans,Explicit,Zhale’s estimate
ABC transporter 4,0.00617,mM,M_trans_nac,Explicit,Copy from ADE transporter
