Metabolite,Concentration,Units,Comments
M_lgltn_c,0.666354496815287,mM,Lipogalactan capsule
M_pg_c,6.11989910828026,mM,Phosphatidylglycerol
M_clpn_c,3.26187515923567,mM,Cardiolipin
M_chsterol_c,6.16649732484076,mM,Cholesterol
M_12dgr_c,3.57252993630573,mM,Diacylglycerol
M_galfur12dgr_c,2.68716382165605,mM,Gal-DAG
M_tag_c,1.00652147770701,mM,Triacylglycerol
M_fa_c,3.16867872611465,mM,Fatty acid
M_datp_c,0.01,mM,dATP
M_dttp_c,0.01,mM,dTTP
M_dctp_c,0.01,mM,dCTP
M_dgtp_c,0.01,mM,dGTP
M_utp_c,0.1,mM,UTP
M_ctp_c,0.1,mM,CTP
M_gtp_c,0.1,mM,GTP
M_ttp_c,0.1,mM,TTP
