species,gene,transcribe,proteomics_fraction
ptsg,MMSYN1_0779,1,0.15
ptsg_P,MMSYN1_0779,0,0.85
M_PTN_JCVISYN3A_0005_c,MMSYN1_0005,1,1.0
M_PTN_JCVISYN3A_0008_c,MMSYN1_0008,1,1.0
M_PTN_JCVISYN3A_0009_c,MMSYN1_0009,1,1.0
M_PTN_JCVISYN3A_0010_c,MMSYN1_0010,1,1.0
M_PTN_JCVISYN3A_0011_c,MMSYN1_0011,1,1.0
M_PTN_JCVISYN3A_0030_c,MMSYN1_0030,1,1.0
M_PTN_JCVISYN3A_0034_c,MMSYN1_0034,1,1.0
M_PTN_JCVISYN3A_0060_c,MMSYN1_0060,1,1.0
M_PTN_JCVISYN3A_0095_c,MMSYN1_0095,1,1.0
M_PTN_JCVISYN3A_0113_c,MMSYN1_0113,1,1.0
M_PTN_JCVISYN3A_0114_c,MMSYN1_0114,1,1.0
M_PTN_JCVISYN3A_0116_c,MMSYN1_0116,1,1.0
M_PTN_JCVISYN3A_0117_c,MMSYN1_0117,1,1.0
M_PTN_JCVISYN3A_0132_c,MMSYN1_0132,1,1.0
M_PTN_JCVISYN3A_0143_c,MMSYN1_0143,1,1.0
M_PTN_JCVISYN3A_0146_c,MMSYN1_0146,1,1.0
M_PTN_JCVISYN3A_0164_c,MMSYN1_0164,1,1.0
M_PTN_JCVISYN3A_0165_c,MMSYN1_0165,1,1.0
M_PTN_JCVISYN3A_0166_c,MMSYN1_0166,1,1.0
M_PTN_JCVISYN3A_0167_c,MMSYN1_0167,1,1.0
M_PTN_JCVISYN3A_0168_c,MMSYN1_0168,1,1.0
M_PTN_JCVISYN3A_0169_c,MMSYN1_0169,1,1.0
M_PTN_JCVISYN3A_0195_c,MMSYN1_0195,1,1.0
M_PTN_JCVISYN3A_0196_c,MMSYN1_0196,1,1.0
M_PTN_JCVISYN3A_0197_c,MMSYN1_0197,1,1.0
M_PTN_JCVISYN3A_0235_c,MMSYN1_0235,1,1.0
M_PTN_JCVISYN3A_0239_c,MMSYN1_0239,1,1.0
M_PTN_JCVISYN3A_0248_c,MMSYN1_0248,1,1.0
M_PTN_JCVISYN3A_0249_c,MMSYN1_0249,1,1.0
M_PTN_JCVISYN3A_0296_c,MMSYN1_0296,1,1.0
M_PTN_JCVISYN3A_0304_c,MMSYN1_0304,1,1.0
M_PTN_JCVISYN3A_0314_c,MMSYN1_0314,1,1.0
M_PTN_JCVISYN3A_0317_c,MMSYN1_0317,1,1.0
M_PTN_JCVISYN3A_0326_c,MMSYN1_0326,1,1.0
M_PTN_JCVISYN3A_0332_c,MMSYN1_0332,1,1.0
M_PTN_JCVISYN3A_0338_c,MMSYN1_0338,1,1.0
M_PTN_JCVISYN3A_0345_c,MMSYN1_0345,1,1.0
M_PTN_JCVISYN3A_0346_c,MMSYN1_0346,1,1.0
M_PTN_JCVISYN3A_0371_c,MMSYN1_0371,1,1.0
M_PTN_JCVISYN3A_0372_c,MMSYN1_0372,1,1.0
M_PTN_JCVISYN3A_0379_c,MMSYN1_0379,1,1.0
M_PTN_JCVISYN3A_0388_c,MMSYN1_0388,1,1.0
M_PTN_JCVISYN3A_0398_c,MMSYN1_0398,1,1.0
M_PTN_JCVISYN3A_0399_c,MMSYN1_0399,1,1.0
M_PTN_JCVISYN3A_0411_c,MMSYN1_0411,1,1.0
M_PTN_JCVISYN3A_0425_c,MMSYN1_0425,1,1.0
M_PTN_JCVISYN3A_0426_c,MMSYN1_0426,1,1.0
M_PTN_JCVISYN3A_0427_c,MMSYN1_0427,1,1.0
M_PTN_JCVISYN3A_0428_c,MMSYN1_0428,1,1.0
M_PTN_JCVISYN3A_0439_c,MMSYN1_0439,1,1.0
M_PTN_JCVISYN3A_0440_c,MMSYN1_0440,1,1.0
M_PTN_JCVISYN3A_0478_c,MMSYN1_0478,1,1.0
M_PTN_JCVISYN3A_0481_c,MMSYN1_0481,1,1.0
M_PTN_JCVISYN3A_0505_c,MMSYN1_0505,1,1.0
M_PTN_JCVISYN3A_0516_c,MMSYN1_0516,1,1.0
M_PTN_JCVISYN3A_0601_c,MMSYN1_0601,1,1.0
M_PTN_JCVISYN3A_0639_c,MMSYN1_0639,1,1.0
M_PTN_JCVISYN3A_0641_c,MMSYN1_0641,1,1.0
M_PTN_JCVISYN3A_0642_c,MMSYN1_0642,1,1.0
M_PTN_JCVISYN3A_0643_c,MMSYN1_0643,1,1.0
M_PTN_JCVISYN3A_0652_c,MMSYN1_0652,1,1.0
M_PTN_JCVISYN3A_0685_c,MMSYN1_0685,1,1.0
M_PTN_JCVISYN3A_0686_c,MMSYN1_0686,1,1.0
M_PTN_JCVISYN3A_0691_c,MMSYN1_0691,1,1.0
M_PTN_JCVISYN3A_0696_c,MMSYN1_0696,1,1.0
M_PTN_JCVISYN3A_0706_c,MMSYN1_0706,1,1.0
M_PTN_JCVISYN3A_0707_c,MMSYN1_0707,1,1.0
M_PTN_JCVISYN3A_0708_c,MMSYN1_0708,1,1.0
M_PTN_JCVISYN3A_0774_c,MMSYN1_0774,1,1.0
M_PTN_JCVISYN3A_0777_c,MMSYN1_0777,1,1.0
M_PTN_JCVISYN3A_0778_c,MMSYN1_0778,1,1.0
M_PTN_JCVISYN3A_0787_c,MMSYN1_0787,1,1.0
M_PTN_JCVISYN3A_0789_c,MMSYN1_0789,1,1.0
M_PTN_JCVISYN3A_0790_c,MMSYN1_0790,1,1.0
M_PTN_JCVISYN3A_0791_c,MMSYN1_0791,1,1.0
M_PTN_JCVISYN3A_0792_c,MMSYN1_0792,1,1.0
M_PTN_JCVISYN3A_0795_c,MMSYN1_0795,1,1.0
M_PTN_JCVISYN3A_0797_c,MMSYN1_0797,1,1.0
M_PTN_JCVISYN3A_0822_c,MMSYN1_0822,1,1.0
M_PTN_JCVISYN3A_0827_c,MMSYN1_0827,1,1.0
M_PTN_JCVISYN3A_0830_c,MMSYN1_0830,1,1.0
M_PTN_JCVISYN3A_0835_c,MMSYN1_0835,1,1.0
M_PTN_JCVISYN3A_0836_c,MMSYN1_0836,1,1.0
M_PTN_JCVISYN3A_0839_c,MMSYN1_0839,1,1.0
M_PTN_JCVISYN3A_0852_c,MMSYN1_0852,1,1.0
M_PTN_JCVISYN3A_0870_c,MMSYN1_0870,1,1.0
M_PTN_JCVISYN3A_0872_c,MMSYN1_0872,1,1.0
M_PTN_JCVISYN3A_0876_c,MMSYN1_0876,1,1.0
M_PTN_JCVISYN3A_0878_c,MMSYN1_0878,1,1.0
M_PTN_JCVISYN3A_0879_c,MMSYN1_0879,1,1.0
M_PTN_JCVISYN3A_0881_c,MMSYN1_0881,1,1.0
M_PTN_JCVISYN3A_0908_c,MMSYN1_0908,1,1.0
