species,gene
M_s4_c,MMSYN1_0238
M_s17_c,MMSYN1_0662
M_s15_c,MMSYN1_0294
M_s8_c,MMSYN1_0657
M_s20_c,MMSYN1_0082
M_s7_c,MMSYN1_0149
M_s16_c,MMSYN1_0362
M_s18_c,MMSYN1_0025
M_s9_c,MMSYN1_0637
M_s13_c,MMSYN1_0647
M_s19_c,MMSYN1_0667
M_s2_c,MMSYN1_0540
M_s11_c,MMSYN1_0646
M_s5_c,MMSYN1_0654
M_s14_c,MMSYN1_0658
M_s3_c,MMSYN1_0665
M_s10_c,MMSYN1_0672
M_s12_c,MMSYN1_0148
M_s21_c,MMSYN1_0482
M_L24_c,MMSYN1_0660
M_L18_c,MMSYN1_0655
M_L11_c,MMSYN1_0810
M_L20_c,MMSYN1_0198
M_L12_c,MMSYN1_0806
M_L4_c,MMSYN1_0670
M_L21_c,MMSYN1_0501
M_L5_c,MMSYN1_0659
M_L1_c,MMSYN1_0809
M_L13_c,MMSYN1_0638
M_L29_c,MMSYN1_0663
M_L2_c,MMSYN1_0668
M_L31_c,MMSYN1_0137
M_L3_c,MMSYN1_0671
M_L22_c,MMSYN1_0666
M_L15_c,MMSYN1_0653
M_L34_c,MMSYN1_0910
M_L23_c,MMSYN1_0669
M_L6_c,MMSYN1_0656
M_L14_c,MMSYN1_0661
M_L19_c,MMSYN1_0365
M_L27_c,MMSYN1_0499
M_L10_c,MMSYN1_0807
M_L9_c,MMSYN1_0833
M_L16_c,MMSYN1_0664
M_L28_c,MMSYN1_0422
M_L32_c,MMSYN1_0526
M_L35_c,MMSYN1_0199
M_L17_c,MMSYN1_0644
