species,gene
M_trnaleu_c,MMSYN1_0070
M_trnalys_c,MMSYN1_0071
M_trnaser_c,MMSYN1_0280
M_trnagly_c,MMSYN1_0295
M_trnaarg_c,MMSYN1_0374
M_trnaleu_c,MMSYN1_0423
M_trnaleu_c,MMSYN1_0506
M_trnalys_c,MMSYN1_0507
M_trnagln_c,MMSYN1_0508
M_trnatyr_c,MMSYN1_0509
M_trnathr_c,MMSYN1_0510
M_trnatrp_c,MMSYN1_0618
M_trnatrp_c,MMSYN1_0619
M_trnahis_c,MMSYN1_0624
M_trnaile_c,MMSYN1_0635
M_trnathr_c,MMSYN1_0678
M_trnaval_c,MMSYN1_0679
M_trnaglu_c,MMSYN1_0680
M_trnaasn_c,MMSYN1_0681
M_trnaarg_c,MMSYN1_0717
M_trnapro_c,MMSYN1_0718
M_trnaala_c,MMSYN1_0719
M_trnamet_c,MMSYN1_0720
M_trnamet_c,MMSYN1_0721
M_trnaser_c,MMSYN1_0722
M_trnamet_c,MMSYN1_0723
M_trnaasp_c,MMSYN1_0724
M_trnaphe_c,MMSYN1_0725
M_trnacys_c,MMSYN1_0828
