species,gene,transcribe,proteomics_fraction
ptsg,MMSYN1_0779,1,0.15
ptsg_P,MMSYN1_0779,0,0.85
PTN_0005,MMSYN1_0005,1,1.0
PTN_0008,MMSYN1_0008,1,1.0
PTN_0009,MMSYN1_0009,1,1.0
PTN_0010,MMSYN1_0010,1,1.0
PTN_0011,MMSYN1_0011,1,1.0
PTN_0030,MMSYN1_0030,1,1.0
PTN_0034,MMSYN1_0034,1,1.0
PTN_0060,MMSYN1_0060,1,1.0
PTN_0095,MMSYN1_0095,1,1.0
PTN_0113,MMSYN1_0113,1,1.0
PTN_0114,MMSYN1_0114,1,1.0
PTN_0116,MMSYN1_0116,1,1.0
PTN_0117,MMSYN1_0117,1,1.0
PTN_0132,MMSYN1_0132,1,1.0
PTN_0143,MMSYN1_0143,1,1.0
PTN_0146,MMSYN1_0146,1,1.0
PTN_0164,MMSYN1_0164,1,1.0
PTN_0165,MMSYN1_0165,1,1.0
PTN_0166,MMSYN1_0166,1,1.0
PTN_0167,MMSYN1_0167,1,1.0
PTN_0168,MMSYN1_0168,1,1.0
PTN_0169,MMSYN1_0169,1,1.0
PTN_0195,MMSYN1_0195,1,1.0
PTN_0196,MMSYN1_0196,1,1.0
PTN_0197,MMSYN1_0197,1,1.0
PTN_0235,MMSYN1_0235,1,1.0
PTN_0239,MMSYN1_0239,1,1.0
PTN_0248,MMSYN1_0248,1,1.0
PTN_0249,MMSYN1_0249,1,1.0
PTN_0296,MMSYN1_0296,1,1.0
PTN_0304,MMSYN1_0304,1,1.0
PTN_0314,MMSYN1_0314,1,1.0
PTN_0317,MMSYN1_0317,1,1.0
PTN_0326,MMSYN1_0326,1,1.0
PTN_0332,MMSYN1_0332,1,1.0
PTN_0338,MMSYN1_0338,1,1.0
PTN_0345,MMSYN1_0345,1,1.0
PTN_0346,MMSYN1_0346,1,1.0
PTN_0371,MMSYN1_0371,1,1.0
PTN_0372,MMSYN1_0372,1,1.0
PTN_0379,MMSYN1_0379,1,1.0
PTN_0388,MMSYN1_0388,1,1.0
PTN_0398,MMSYN1_0398,1,1.0
PTN_0399,MMSYN1_0399,1,1.0
PTN_0411,MMSYN1_0411,1,1.0
PTN_0425,MMSYN1_0425,1,1.0
PTN_0426,MMSYN1_0426,1,1.0
PTN_0427,MMSYN1_0427,1,1.0
PTN_0428,MMSYN1_0428,1,1.0
PTN_0439,MMSYN1_0439,1,1.0
PTN_0440,MMSYN1_0440,1,1.0
PTN_0478,MMSYN1_0478,1,1.0
PTN_0481,MMSYN1_0481,1,1.0
PTN_0505,MMSYN1_0505,1,1.0
PTN_0516,MMSYN1_0516,1,1.0
PTN_0601,MMSYN1_0601,1,1.0
PTN_0639,MMSYN1_0639,1,1.0
PTN_0641,MMSYN1_0641,1,1.0
PTN_0642,MMSYN1_0642,1,1.0
PTN_0643,MMSYN1_0643,1,1.0
PTN_0652,MMSYN1_0652,1,1.0
PTN_0685,MMSYN1_0685,1,1.0
PTN_0686,MMSYN1_0686,1,1.0
PTN_0691,MMSYN1_0691,1,1.0
PTN_0696,MMSYN1_0696,1,1.0
PTN_0706,MMSYN1_0706,1,1.0
PTN_0707,MMSYN1_0707,1,1.0
PTN_0708,MMSYN1_0708,1,1.0
PTN_0774,MMSYN1_0774,1,1.0
PTN_0777,MMSYN1_0777,1,1.0
PTN_0778,MMSYN1_0778,1,1.0
PTN_0787,MMSYN1_0787,1,1.0
PTN_0789,MMSYN1_0789,1,1.0
PTN_0790,MMSYN1_0790,1,1.0
PTN_0791,MMSYN1_0791,1,1.0
PTN_0792,MMSYN1_0792,1,1.0
PTN_0795,MMSYN1_0795,1,1.0
PTN_0797,MMSYN1_0797,1,1.0
PTN_0822,MMSYN1_0822,1,1.0
PTN_0827,MMSYN1_0827,1,1.0
PTN_0830,MMSYN1_0830,1,1.0
PTN_0835,MMSYN1_0835,1,1.0
PTN_0836,MMSYN1_0836,1,1.0
PTN_0839,MMSYN1_0839,1,1.0
PTN_0852,MMSYN1_0852,1,1.0
PTN_0870,MMSYN1_0870,1,1.0
PTN_0872,MMSYN1_0872,1,1.0
PTN_0876,MMSYN1_0876,1,1.0
PTN_0878,MMSYN1_0878,1,1.0
PTN_0879,MMSYN1_0879,1,1.0
PTN_0881,MMSYN1_0881,1,1.0
PTN_0908,MMSYN1_0908,1,1.0
