!!SBtab TableID='ParamPrep' TableType='Quantity' TableName='Parameters_EqPrep' DocumentName=' Document=' Unit=' SBtabVersion='1.0' Date='2019-5-17'
!QuantityType	!Reaction:SBML:reaction:id	!Enzyme:Identifiers:ec-code	!Compound:SBML:species:id	!Name	!Mean	!Std	!Unit	!Min	!Max	!Organism	!Description
substrate catalytic rate constant	R_PGI	5.3.1.9			441.96		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_PFK	2.7.1.11			275.59		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_FBA	4.1.2.13			90.57		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_TPI	5.3.1.1			32.76		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_GAPD	1.2.1.12			846.54		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_PGK	2.7.2.3			34.17		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_PGM	5.4.2.12			14.25		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_PYK	2.7.1.40			5.68		1/s				Cocks-Finch (1985)
product catalytic rate constant	R_LDH_L	1.1.1.27			4186.01		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_PTAr	2.3.1.8			43.35		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_NOX	1.6.3.4			2997.08		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_TKT2	2.2.1.1			63.45		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_RPE	5.1.3.1			27.31		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_RPI	5.3.1.6			46.82		1/s				Cocks-Finch (1985)
substrate catalytic rate constant	R_DRPA	4.1.2.4			29.04		1/s				Cocks-Finch (1985)
Michaelis constant	R_LDH_L	1.1.1.27	M_lac__L_c	L-lactate	0.055		mM				Allsopp (1975)
concentration			M_fdp_c	'D-fructose 1,6-bisphosphate'	0.34		mM				Yus 2009
concentration			M_glyc3p_c	Glycerol 3-phosphate	0.19		mM				Yus 2009
concentration			M_pep_c	phosphoenolpyruvate	0.11		mM				Yus 2009
concentration			M_g6p_c	D-glucose 6-phosphate	0.09		mM				Yus 2009
concentration			M_f6p_c	D-fructose 6-phosphate	0.08		mM				Yus 2009
concentration			M_r5p_c	D-ribose 5-phosphate	0.03		mM				Yus 2009
concentration			M_dhap_c	dihydroxyacetone phosphate	0.1		mM				Yus 2009; glycerone AKA dihydroxyacetone;
concentration			M_atp_c	ATP	4.1		mM				Yus 2009 [1st value]
concentration			M_leu__L_c	L-leucine	0.83		mM				Maier 2013
concentration			M_glu__L_c	L-glutamate	3.28		mM				Maier 2013
concentration			M_ala__L_c	L-alanine	1.26		mM				Maier 2013
concentration			M_val__L_c	L-valine	0.4		mM				Maier 2013
concentration			M_ile__L_c	L-isoleucine	0.57		mM				Maier 2013
concentration			M_ser__L_c	L-serine	0.42		mM				Maier 2013
concentration			M_gly_c	glycine	1.16		mM				Maier 2013
concentration			M_asp__L_c	L-aspartate	0.77		mM				Maier 2013
concentration			M_thr__L_c	L-threonine	0.21		mM				Maier 2013
concentration			M_phe__L_c	L-phenylalanine	1.3		mM				Maier 2013
