1816,1817,1818,1819,1820,-1,-1,-1
1812,1813,1814,1815,-1,-1,-1,-1
1811,-1,-1,-1,-1,-1,-1,-1
1850,-1,-1,-1,-1,-1,-1,-1
1875,1876,-1,-1,-1,-1,-1,-1
1851,1852,1853,1854,1855,-1,-1,-1
1856,-1,-1,-1,-1,-1,-1,-1
1857,1858,1859,-1,-1,-1,-1,-1
1340,1341,-1,-1,-1,-1,-1,-1
1339,-1,-1,-1,-1,-1,-1,-1
1372,-1,-1,-1,-1,-1,-1,-1
1371,-1,-1,-1,-1,-1,-1,-1
892,-1,-1,-1,-1,-1,-1,-1
887,888,893,894,-1,-1,-1,-1
1776,1777,-1,-1,-1,-1,-1,-1
1772,1773,1774,1775,-1,-1,-1,-1
1803,1804,1805,-1,-1,-1,-1,-1
1782,1801,1802,-1,-1,-1,-1,-1
1778,1779,1780,1781,-1,-1,-1,-1
1806,1807,-1,-1,-1,-1,-1,-1
1783,1808,-1,-1,-1,-1,-1,-1
1822,1823,1824,-1,-1,-1,-1,-1
1821,-1,-1,-1,-1,-1,-1,-1
1843,1844,1845,-1,-1,-1,-1,-1
1809,1810,-1,-1,-1,-1,-1,-1
2482,-1,-1,-1,-1,-1,-1,-1
1848,1849,-1,-1,-1,-1,-1,-1
1846,1847,1874,1877,1878,-1,-1,-1
2480,2481,-1,-1,-1,-1,-1,-1
1871,1872,1873,-1,-1,-1,-1,-1
1344,-1,-1,-1,-1,-1,-1,-1
2416,-1,-1,-1,-1,-1,-1,-1
2417,2418,-1,-1,-1,-1,-1,-1
2419,-1,-1,-1,-1,-1,-1,-1
1860,1861,1862,1866,1869,1870,-1,-1
1342,1343,-1,-1,-1,-1,-1,-1
1338,1381,1382,-1,-1,-1,-1,-1
1373,-1,-1,-1,-1,-1,-1,-1
1374,1375,-1,-1,-1,-1,-1,-1
1863,1864,1865,-1,-1,-1,-1,-1
1335,1336,-1,-1,-1,-1,-1,-1
1337,1366,1367,-1,-1,-1,-1,-1
1368,1369,1370,-1,-1,-1,-1,-1
880,881,-1,-1,-1,-1,-1,-1
891,902,905,-1,-1,-1,-1,-1
886,889,890,895,901,906,907,-1
884,885,908,-1,-1,-1,-1,-1
846,847,882,883,-1,-1,-1,-1
870,-1,-1,-1,-1,-1,-1,-1
869,-1,-1,-1,-1,-1,-1,-1
990,991,-1,-1,-1,-1,-1,-1
983,984,989,992,-1,-1,-1,-1
981,982,-1,-1,-1,-1,-1,-1
896,899,900,-1,-1,-1,-1,-1
839,842,843,844,897,898,-1,-1
845,848,849,850,-1,-1,-1,-1
851,852,-1,-1,-1,-1,-1,-1
858,859,860,-1,-1,-1,-1,-1
782,783,784,-1,-1,-1,-1,-1
785,786,-1,-1,-1,-1,-1,-1
987,988,-1,-1,-1,-1,-1,-1
978,979,980,-1,-1,-1,-1,-1
977,-1,-1,-1,-1,-1,-1,-1
840,841,-1,-1,-1,-1,-1,-1
831,-1,-1,-1,-1,-1,-1,-1
853,854,855,-1,-1,-1,-1,-1
856,857,-1,-1,-1,-1,-1,-1
787,-1,-1,-1,-1,-1,-1,-1
788,791,-1,-1,-1,-1,-1,-1
825,826,827,828,-1,-1,-1,-1
829,830,-1,-1,-1,-1,-1,-1
792,793,794,-1,-1,-1,-1,-1
11088,11089,-1,-1,-1,-1,-1,-1
795,-1,-1,-1,-1,-1,-1,-1
11087,-1,-1,-1,-1,-1,-1,-1
1761,-1,-1,-1,-1,-1,-1,-1
1762,1763,-1,-1,-1,-1,-1,-1
1764,-1,-1,-1,-1,-1,-1,-1
1796,1797,1798,1799,-1,-1,-1,-1
1770,1771,-1,-1,-1,-1,-1,-1
1785,1786,1787,1788,1795,1800,-1,-1
1827,1828,1829,-1,-1,-1,-1,-1
1836,1837,1838,-1,-1,-1,-1,-1
1839,1840,1841,-1,-1,-1,-1,-1
1784,-1,-1,-1,-1,-1,-1,-1
2488,2489,-1,-1,-1,-1,-1,-1
2490,-1,-1,-1,-1,-1,-1,-1
1825,1826,1830,-1,-1,-1,-1,-1
1842,-1,-1,-1,-1,-1,-1,-1
2483,-1,-1,-1,-1,-1,-1,-1
2484,2485,2486,2487,-1,-1,-1,-1
1175,-1,-1,-1,-1,-1,-1,-1
1180,1181,1879,-1,-1,-1,-1,-1
1880,1881,1882,-1,-1,-1,-1,-1
2475,2476,2477,2478,-1,-1,-1,-1
2445,2479,-1,-1,-1,-1,-1,-1
2444,-1,-1,-1,-1,-1,-1,-1
2438,2439,-1,-1,-1,-1,-1,-1
1172,1173,-1,-1,-1,-1,-1,-1
1174,-1,-1,-1,-1,-1,-1,-1
1345,-1,-1,-1,-1,-1,-1,-1
1346,-1,-1,-1,-1,-1,-1,-1
2414,2415,-1,-1,-1,-1,-1,-1
2421,-1,-1,-1,-1,-1,-1,-1
2420,2428,-1,-1,-1,-1,-1,-1
2429,-1,-1,-1,-1,-1,-1,-1
2434,2435,2436,2437,-1,-1,-1,-1
1867,1868,-1,-1,-1,-1,-1,-1
1347,1348,1349,1380,1383,1384,-1,-1
1350,1351,1354,1355,1377,1378,1379,-1
1376,-1,-1,-1,-1,-1,-1,-1
2413,-1,-1,-1,-1,-1,-1,-1
2412,2422,-1,-1,-1,-1,-1,-1
2423,2424,-1,-1,-1,-1,-1,-1
1332,1333,1334,-1,-1,-1,-1,-1
1364,1365,-1,-1,-1,-1,-1,-1
1362,1363,-1,-1,-1,-1,-1,-1
997,-1,-1,-1,-1,-1,-1,-1
879,-1,-1,-1,-1,-1,-1,-1
876,877,878,1361,-1,-1,-1,-1
875,-1,-1,-1,-1,-1,-1,-1
994,995,996,-1,-1,-1,-1,-1
903,904,-1,-1,-1,-1,-1,-1
909,910,911,-1,-1,-1,-1,-1
912,-1,-1,-1,-1,-1,-1,-1
871,872,873,874,-1,-1,-1,-1
867,868,-1,-1,-1,-1,-1,-1
778,-1,-1,-1,-1,-1,-1,-1
766,767,-1,-1,-1,-1,-1,-1
768,769,770,-1,-1,-1,-1,-1
985,993,-1,-1,-1,-1,-1,-1
971,972,973,-1,-1,-1,-1,-1
838,-1,-1,-1,-1,-1,-1,-1
861,862,-1,-1,-1,-1,-1,-1
863,864,865,866,-1,-1,-1,-1
779,780,-1,-1,-1,-1,-1,-1
764,765,781,-1,-1,-1,-1,-1
986,-1,-1,-1,-1,-1,-1,-1
974,-1,-1,-1,-1,-1,-1,-1
975,976,-1,-1,-1,-1,-1,-1
835,836,837,-1,-1,-1,-1,-1
832,833,834,-1,-1,-1,-1,-1
789,790,-1,-1,-1,-1,-1,-1
824,-1,-1,-1,-1,-1,-1,-1
11082,11091,11092,11093,-1,-1,-1,-1
11080,11081,-1,-1,-1,-1,-1,-1
820,821,822,-1,-1,-1,-1,-1
823,-1,-1,-1,-1,-1,-1,-1
11083,11084,11090,-1,-1,-1,-1,-1
11079,-1,-1,-1,-1,-1,-1,-1
11076,11077,11078,-1,-1,-1,-1,-1
796,-1,-1,-1,-1,-1,-1,-1
797,798,799,-1,-1,-1,-1,-1
818,819,-1,-1,-1,-1,-1,-1
11085,11086,-1,-1,-1,-1,-1,-1
11075,-1,-1,-1,-1,-1,-1,-1
1750,1751,-1,-1,-1,-1,-1,-1
1757,1758,-1,-1,-1,-1,-1,-1
1760,-1,-1,-1,-1,-1,-1,-1
1759,-1,-1,-1,-1,-1,-1,-1
1765,1766,1767,-1,-1,-1,-1,-1
1768,1769,-1,-1,-1,-1,-1,-1
2496,-1,-1,-1,-1,-1,-1,-1
1207,1208,1209,-1,-1,-1,-1,-1
1210,1789,1790,1791,1794,-1,-1,-1
1792,1793,-1,-1,-1,-1,-1,-1
2494,2495,-1,-1,-1,-1,-1,-1
1833,-1,-1,-1,-1,-1,-1,-1
1834,1835,-1,-1,-1,-1,-1,-1
1205,1206,-1,-1,-1,-1,-1,-1
1892,-1,-1,-1,-1,-1,-1,-1
1402,-1,-1,-1,-1,-1,-1,-1
1401,-1,-1,-1,-1,-1,-1,-1
2491,2492,2493,-1,-1,-1,-1,-1
1831,1832,-1,-1,-1,-1,-1,-1
1204,1887,-1,-1,-1,-1,-1,-1
1888,1889,1890,1891,-1,-1,-1,-1
1397,1398,1399,1400,-1,-1,-1,-1
