uncharged,charged,gene,AA,synthase
M_trnaleu_c,M_leutrna_c,MMSYN1_0070,M_leu__L_c,JCVISYN3A_0634
M_trnalys_c,M_lystrna_c,MMSYN1_0071,M_lys__L_c,JCVISYN3A_0064
M_trnaser_c,M_sertrna_c,MMSYN1_0280,M_ser__L_c,JCVISYN3A_0061
M_trnagly_c,M_glytrna_c,MMSYN1_0295,M_gly_c,JCVISYN3A_0405
M_trnaarg_c,M_argtrna_c,MMSYN1_0374,M_arg__L_c,JCVISYN3A_0535
M_trnaleu_c,M_leutrna_c,MMSYN1_0423,M_leu__L_c,JCVISYN3A_0634
M_trnaleu_c,M_leutrna_c,MMSYN1_0506,M_leu__L_c,JCVISYN3A_0634
M_trnalys_c,M_lystrna_c,MMSYN1_0507,M_lys__L_c,JCVISYN3A_0064
M_trnacys_c,M_cystrna_c,MMSYN1_0828,M_cys__L_c,JCVISYN3A_0837
M_trnatyr_c,M_tyrtrna_c,MMSYN1_0509,M_tyr__L_c,JCVISYN3A_0613
M_trnathr_c,M_thrtrna_c,MMSYN1_0510,M_thr__L_c,JCVISYN3A_0222
M_trnatrp_c,M_trptrna_c,MMSYN1_0618,M_trp__L_c,JCVISYN3A_0308
M_trnatrp_c,M_trptrna_c,MMSYN1_0619,M_trp__L_c,JCVISYN3A_0308
M_trnahis_c,M_histrna_c,MMSYN1_0624,M_his__L_c,JCVISYN3A_0288
M_trnaile_c,M_iletrna_c,MMSYN1_0635,M_ile__L_c,JCVISYN3A_0519
M_trnathr_c,M_thrtrna_c,MMSYN1_0678,M_thr__L_c,JCVISYN3A_0222
M_trnaval_c,M_valtrna_c,MMSYN1_0679,M_val__L_c,JCVISYN3A_0260
M_trnaglu_c,M_glutrna_c,MMSYN1_0680,M_glu__L_c,JCVISYN3A_0126
M_trnaasn_c,M_asntrna_c,MMSYN1_0681,M_asn__L_c,JCVISYN3A_0076
M_trnaarg_c,M_argtrna_c,MMSYN1_0717,M_arg__L_c,JCVISYN3A_0535
M_trnapro_c,M_protrna_c,MMSYN1_0718,M_pro__L_c,JCVISYN3A_0282
M_trnaala_c,M_alatrna_c,MMSYN1_0719,M_ala__L_c,JCVISYN3A_0163
M_trnamet_c,M_mettrna_c,MMSYN1_0720,M_met__L_c,JCVISYN3A_0012
M_trnamet_c,M_mettrna_c,MMSYN1_0721,M_met__L_c,JCVISYN3A_0012
M_trnaser_c,M_sertrna_c,MMSYN1_0722,M_ser__L_c,JCVISYN3A_0061
M_trnamet_c,M_mettrna_c,MMSYN1_0723,M_met__L_c,JCVISYN3A_0012
M_trnaasp_c,M_asptrna_c,MMSYN1_0724,M_asp__L_c,JCVISYN3A_0287
M_trnaphe_c,M_phetrna_c,MMSYN1_0725,M_phe__L_c,JCVISYN3A_0529
M_trnagln_c,M_glntrna_c,MMSYN1_0508,M_gln__L_c,GLN
